run_accession	study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	tax_id	scientific_name	study_title	study_alias	experiment_alias	fastq_ftp	submitted_ftp	sample_alias	sample_title	bam_ftp
ERR4153677	PRJEB38332	ERP121748	SAMEA6838731	ERS4566341	ERX4119427	1616037	milk metagenome	Cow milk microbiota composition from 16S rRNA-gene sequencing: different dry-cow therapy treatments (two antibiotics, teat sealant, controls)	ena-STUDY-CNR-15-05-2020-13:50:32:549-515	ena-EXPERIMENT-CNR-15-05-2020-19:10:00:939-5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/007/ERR4153677/ERR4153677_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/007/ERR4153677/ERR4153677_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153677/355_S5_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153677/355_S5_L001_R2_001.fastq.gz	355_S5	355_S5	
ERR4153682	PRJEB38332	ERP121748	SAMEA6838736	ERS4566346	ERX4119432	1616037	milk metagenome	Cow milk microbiota composition from 16S rRNA-gene sequencing: different dry-cow therapy treatments (two antibiotics, teat sealant, controls)	ena-STUDY-CNR-15-05-2020-13:50:32:549-515	ena-EXPERIMENT-CNR-15-05-2020-19:10:00:939-10	ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/002/ERR4153682/ERR4153682_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/002/ERR4153682/ERR4153682_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153682/366_S10_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153682/366_S10_L001_R2_001.fastq.gz	366_S10	366_S10	
ERR4153685	PRJEB38332	ERP121748	SAMEA6838739	ERS4566349	ERX4119435	1616037	milk metagenome	Cow milk microbiota composition from 16S rRNA-gene sequencing: different dry-cow therapy treatments (two antibiotics, teat sealant, controls)	ena-STUDY-CNR-15-05-2020-13:50:32:549-515	ena-EXPERIMENT-CNR-15-05-2020-19:10:00:939-13	ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/005/ERR4153685/ERR4153685_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/005/ERR4153685/ERR4153685_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153685/321_S13_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153685/321_S13_L001_R2_001.fastq.gz	321_S13	321_S13	
ERR4153691	PRJEB38332	ERP121748	SAMEA6838745	ERS4566355	ERX4119441	1616037	milk metagenome	Cow milk microbiota composition from 16S rRNA-gene sequencing: different dry-cow therapy treatments (two antibiotics, teat sealant, controls)	ena-STUDY-CNR-15-05-2020-13:50:32:549-515	ena-EXPERIMENT-CNR-15-05-2020-19:10:00:940-19	ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/001/ERR4153691/ERR4153691_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/001/ERR4153691/ERR4153691_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153691/365_S19_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153691/365_S19_L001_R2_001.fastq.gz	365_S19	365_S19	
ERR4153692	PRJEB38332	ERP121748	SAMEA6838746	ERS4566356	ERX4119442	1616037	milk metagenome	Cow milk microbiota composition from 16S rRNA-gene sequencing: different dry-cow therapy treatments (two antibiotics, teat sealant, controls)	ena-STUDY-CNR-15-05-2020-13:50:32:549-515	ena-EXPERIMENT-CNR-15-05-2020-19:10:00:940-20	ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/002/ERR4153692/ERR4153692_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/002/ERR4153692/ERR4153692_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153692/365_S20_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153692/365_S20_L001_R2_001.fastq.gz	365_S20	365_S20	
ERR4153699	PRJEB38332	ERP121748	SAMEA6838753	ERS4566363	ERX4119449	1616037	milk metagenome	Cow milk microbiota composition from 16S rRNA-gene sequencing: different dry-cow therapy treatments (two antibiotics, teat sealant, controls)	ena-STUDY-CNR-15-05-2020-13:50:32:549-515	ena-EXPERIMENT-CNR-15-05-2020-19:10:00:940-27	ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/009/ERR4153699/ERR4153699_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/009/ERR4153699/ERR4153699_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153699/355_S27_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153699/355_S27_L001_R2_001.fastq.gz	355_S27	355_S27	
ERR4153702	PRJEB38332	ERP121748	SAMEA6838756	ERS4566366	ERX4119452	1616037	milk metagenome	Cow milk microbiota composition from 16S rRNA-gene sequencing: different dry-cow therapy treatments (two antibiotics, teat sealant, controls)	ena-STUDY-CNR-15-05-2020-13:50:32:549-515	ena-EXPERIMENT-CNR-15-05-2020-19:10:00:940-30	ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/002/ERR4153702/ERR4153702_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/002/ERR4153702/ERR4153702_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153702/366_S30_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153702/366_S30_L001_R2_001.fastq.gz	366_S30	366_S30	
ERR4153703	PRJEB38332	ERP121748	SAMEA6838757	ERS4566367	ERX4119453	1616037	milk metagenome	Cow milk microbiota composition from 16S rRNA-gene sequencing: different dry-cow therapy treatments (two antibiotics, teat sealant, controls)	ena-STUDY-CNR-15-05-2020-13:50:32:549-515	ena-EXPERIMENT-CNR-15-05-2020-19:10:00:940-31	ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/003/ERR4153703/ERR4153703_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/003/ERR4153703/ERR4153703_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153703/366_S31_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153703/366_S31_L001_R2_001.fastq.gz	366_S31	366_S31	
ERR4153704	PRJEB38332	ERP121748	SAMEA6838758	ERS4566368	ERX4119454	1616037	milk metagenome	Cow milk microbiota composition from 16S rRNA-gene sequencing: different dry-cow therapy treatments (two antibiotics, teat sealant, controls)	ena-STUDY-CNR-15-05-2020-13:50:32:549-515	ena-EXPERIMENT-CNR-15-05-2020-19:10:00:940-32	ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/004/ERR4153704/ERR4153704_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/004/ERR4153704/ERR4153704_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153704/366_S32_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153704/366_S32_L001_R2_001.fastq.gz	366_S32	366_S32	
ERR4153705	PRJEB38332	ERP121748	SAMEA6838759	ERS4566369	ERX4119455	1616037	milk metagenome	Cow milk microbiota composition from 16S rRNA-gene sequencing: different dry-cow therapy treatments (two antibiotics, teat sealant, controls)	ena-STUDY-CNR-15-05-2020-13:50:32:549-515	ena-EXPERIMENT-CNR-15-05-2020-19:10:00:940-33	ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/005/ERR4153705/ERR4153705_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/005/ERR4153705/ERR4153705_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153705/321_S33_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153705/321_S33_L001_R2_001.fastq.gz	321_S33	321_S33	
