sample_number,run_accession,sample_accession,secondary_sample_accession,experiment_accession,sample_alias,sample_title,cow_id,quarter,anatomical_code,treatment,timepoint,phase,fastq_r1,fastq_r2
1,ERR4153673,SAMEA6838727,ERS4566337,ERX4119423,270AS_S1,270AS_S1,270,FL,AS,untreated_control,T1,dry_off_baseline,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/003/ERR4153673/ERR4153673_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/003/ERR4153673/ERR4153673_2.fastq.gz
2,ERR4153674,SAMEA6838728,ERS4566338,ERX4119424,270AD_S2,270AD_S2,270,FR,AD,teat_sealant,T1,dry_off_baseline,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/004/ERR4153674/ERR4153674_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/004/ERR4153674/ERR4153674_2.fastq.gz
3,ERR4153675,SAMEA6838729,ERS4566339,ERX4119425,270PD_S3,270PD_S3,270,RR,PD,cephalonium,T1,dry_off_baseline,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/005/ERR4153675/ERR4153675_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/005/ERR4153675/ERR4153675_2.fastq.gz
4,ERR4153676,SAMEA6838730,ERS4566340,ERX4119426,270PS_S4,270PS_S4,270,RL,PS,cloxacillin,T1,dry_off_baseline,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/006/ERR4153676/ERR4153676_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/006/ERR4153676/ERR4153676_2.fastq.gz
5,ERR4153677,SAMEA6838731,ERS4566341,ERX4119427,355_S5,355_S5,355,FL,AS,untreated_control,T1,dry_off_baseline,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/007/ERR4153677/ERR4153677_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/007/ERR4153677/ERR4153677_2.fastq.gz
6,ERR4153678,SAMEA6838732,ERS4566342,ERX4119428,355_S6,355_S6,355,FR,AD,teat_sealant,T1,dry_off_baseline,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/008/ERR4153678/ERR4153678_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/008/ERR4153678/ERR4153678_2.fastq.gz
7,ERR4153679,SAMEA6838733,ERS4566343,ERX4119429,355_S7,355_S7,355,RR,PD,cephalonium,T1,dry_off_baseline,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/009/ERR4153679/ERR4153679_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/009/ERR4153679/ERR4153679_2.fastq.gz
8,ERR4153680,SAMEA6838734,ERS4566344,ERX4119430,355_S8,355_S8,355,RL,PS,cloxacillin,T1,dry_off_baseline,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/000/ERR4153680/ERR4153680_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/000/ERR4153680/ERR4153680_2.fastq.gz
9,ERR4153681,SAMEA6838735,ERS4566345,ERX4119431,366_S9,366_S9,366,FL,AS,untreated_control,T1,dry_off_baseline,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/001/ERR4153681/ERR4153681_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/001/ERR4153681/ERR4153681_2.fastq.gz
10,ERR4153682,SAMEA6838736,ERS4566346,ERX4119432,366_S10,366_S10,366,FR,AD,teat_sealant,T1,dry_off_baseline,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/002/ERR4153682/ERR4153682_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/002/ERR4153682/ERR4153682_2.fastq.gz
11,ERR4153683,SAMEA6838737,ERS4566347,ERX4119433,366_S11,366_S11,366,RR,PD,cephalonium,T1,dry_off_baseline,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/003/ERR4153683/ERR4153683_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/003/ERR4153683/ERR4153683_2.fastq.gz
12,ERR4153684,SAMEA6838738,ERS4566348,ERX4119434,366_S12,366_S12,366,RL,PS,cloxacillin,T1,dry_off_baseline,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/004/ERR4153684/ERR4153684_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/004/ERR4153684/ERR4153684_2.fastq.gz
13,ERR4153685,SAMEA6838739,ERS4566349,ERX4119435,321_S13,321_S13,321,FL,AS,untreated_control,T1,dry_off_baseline,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/005/ERR4153685/ERR4153685_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/005/ERR4153685/ERR4153685_2.fastq.gz
14,ERR4153686,SAMEA6838740,ERS4566350,ERX4119436,321_S14,321_S14,321,FR,AD,teat_sealant,T1,dry_off_baseline,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/006/ERR4153686/ERR4153686_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/006/ERR4153686/ERR4153686_2.fastq.gz
15,ERR4153687,SAMEA6838741,ERS4566351,ERX4119437,321_S15,321_S15,321,RR,PD,cephalonium,T1,dry_off_baseline,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/007/ERR4153687/ERR4153687_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/007/ERR4153687/ERR4153687_2.fastq.gz
16,ERR4153688,SAMEA6838742,ERS4566352,ERX4119438,321_S16,321_S16,321,RL,PS,cloxacillin,T1,dry_off_baseline,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/008/ERR4153688/ERR4153688_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/008/ERR4153688/ERR4153688_2.fastq.gz
