sample_number,run_accession,sample_accession,secondary_sample_accession,experiment_accession,sample_alias,sample_title,cow_id,quarter,anatomical_code,treatment,timepoint,phase,fastq_r1,fastq_r2
1,ERR4153673,SAMEA6838727,ERS4566337,ERX4119423,270AS_S1,270AS_S1,270,FL,AS,untreated_control,T1,dry_off_baseline,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/003/ERR4153673/ERR4153673_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/003/ERR4153673/ERR4153673_2.fastq.gz
2,ERR4153674,SAMEA6838728,ERS4566338,ERX4119424,270AD_S2,270AD_S2,270,FR,AD,teat_sealant,T1,dry_off_baseline,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/004/ERR4153674/ERR4153674_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/004/ERR4153674/ERR4153674_2.fastq.gz
4,ERR4153676,SAMEA6838730,ERS4566340,ERX4119426,270PS_S4,270PS_S4,270,RL,PS,cloxacillin,T1,dry_off_baseline,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/006/ERR4153676/ERR4153676_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/006/ERR4153676/ERR4153676_2.fastq.gz
3,ERR4153675,SAMEA6838729,ERS4566339,ERX4119425,270PD_S3,270PD_S3,270,RR,PD,cephalonium,T1,dry_off_baseline,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/005/ERR4153675/ERR4153675_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/005/ERR4153675/ERR4153675_2.fastq.gz
21,ERR4153693,SAMEA6838747,ERS4566357,ERX4119443,270_S21,270_S21,270,FL,AS,untreated_control,T2,calving,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/003/ERR4153693/ERR4153693_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/003/ERR4153693/ERR4153693_2.fastq.gz
22,ERR4153694,SAMEA6838748,ERS4566358,ERX4119444,270_S22,270_S22,270,FR,AD,teat_sealant,T2,calving,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/004/ERR4153694/ERR4153694_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/004/ERR4153694/ERR4153694_2.fastq.gz
24,ERR4153696,SAMEA6838750,ERS4566360,ERX4119446,270_S24,270_S24,270,RL,PS,cloxacillin,T2,calving,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/006/ERR4153696/ERR4153696_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/006/ERR4153696/ERR4153696_2.fastq.gz
23,ERR4153695,SAMEA6838749,ERS4566359,ERX4119445,270_S23,270_S23,270,RR,PD,cephalonium,T2,calving,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/005/ERR4153695/ERR4153695_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/005/ERR4153695/ERR4153695_2.fastq.gz
41,ERR4153713,SAMEA6838767,ERS4566377,ERX4119463,270_S41,270_S41,270,FL,AS,untreated_control,T3,5_DIM,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/003/ERR4153713/ERR4153713_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/003/ERR4153713/ERR4153713_2.fastq.gz
42,ERR4153714,SAMEA6838768,ERS4566378,ERX4119464,270_S42,270_S42,270,FR,AD,teat_sealant,T3,5_DIM,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/004/ERR4153714/ERR4153714_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/004/ERR4153714/ERR4153714_2.fastq.gz
44,ERR4153716,SAMEA6838770,ERS4566380,ERX4119466,270_S44,270_S44,270,RL,PS,cloxacillin,T3,5_DIM,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/006/ERR4153716/ERR4153716_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/006/ERR4153716/ERR4153716_2.fastq.gz
43,ERR4153715,SAMEA6838769,ERS4566379,ERX4119465,270_S43,270_S43,270,RR,PD,cephalonium,T3,5_DIM,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/005/ERR4153715/ERR4153715_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/005/ERR4153715/ERR4153715_2.fastq.gz
