study,PC2_tertile,family,PC2_loading,PC2_side,n_quarters,prevalence,median_relative_abundance,mean_relative_abundance,q25_relative_abundance,q75_relative_abundance
Italy,Low_PC2,Alcanivoracaceae1,0.14685328113947216,Positive_PC2,7,0.2857142857142857,0,9.523809523809524e-5,0,1.6666666666666666e-4
Italy,Low_PC2,Anaerovoracaceae,-0.15292924660746315,Negative_PC2,7,1,0.005,0.005190476190476191,0.004666666666666666,0.005833333333333333
Italy,Low_PC2,Bacteroidaceae,-0.1643881454753317,Negative_PC2,7,1,0.020666666666666667,0.02142857142857143,0.017666666666666664,0.0235
Italy,Low_PC2,Beijerinckiaceae,0.1363518196257099,Positive_PC2,7,0.8571428571428571,0.0013333333333333333,0.001142857142857143,3.333333333333333e-4,0.0018333333333333335
Italy,Low_PC2,Caulobacteraceae,-0.16235408323582468,Negative_PC2,7,1,0.001,0.0015238095238095239,8.333333333333333e-4,0.0023333333333333335
Italy,Low_PC2,Enterobacteriaceae,0.11127004664285554,Positive_PC2,7,0.5714285714285714,3.333333333333333e-4,3.8095238095238096e-4,0,6.666666666666666e-4
Italy,Low_PC2,Lactobacillaceae,0.2011501678617839,Positive_PC2,7,1,0.017,0.021095238095238094,0.013166666666666667,0.027666666666666666
Italy,Low_PC2,Lysobacteraceae,0.10312284500159698,Positive_PC2,7,1,0.007,0.008476190476190476,0.004166666666666667,0.011666666666666665
Italy,Low_PC2,Methylophilaceae,0.1016032127590518,Positive_PC2,7,0.14285714285714285,0,4.761904761904762e-5,0,0
Italy,Low_PC2,Mycobacteriaceae,0.1290880481565365,Positive_PC2,7,0,0,0,0,0
Italy,Low_PC2,Paracoccaceae,-0.29481359935087703,Negative_PC2,7,1,0.005333333333333333,0.0058095238095238096,0.002,0.0095000000000000015
Italy,Low_PC2,Propionibacteriaceae,0.1503708374150297,Positive_PC2,7,1,0.02666666666666667,0.030904761904761904,0.024833333333333332,0.0345
Italy,Low_PC2,Pseudomonadaceae,0.1613371458129849,Positive_PC2,7,1,0.06733333333333333,0.08019047619047619,0.055999999999999994,0.09466666666666666
Italy,Low_PC2,Ruminococcaceae,-0.1404108264615202,Negative_PC2,7,1,0.012666666666666666,0.01338095238095238,0.010166666666666668,0.017333333333333333
Italy,Low_PC2,Saccharimonadaceae,-0.1796883992639053,Negative_PC2,7,1,0.004666666666666667,0.004952380952380953,0.0028333333333333335,0.006166666666666667
Italy,Low_PC2,Sphingomonadaceae,-0.1340996433349894,Negative_PC2,7,1,0.0026666666666666666,0.005285714285714286,0.002,0.006166666666666667
Italy,Low_PC2,Spirochaetaceae,-0.14286470854826516,Negative_PC2,7,0.8571428571428571,0.005,0.006142857142857143,0.0015,0.008666666666666666
Italy,Low_PC2,Streptococcaceae,0.11347644255034132,Positive_PC2,7,1,0.059333333333333335,0.063,0.04133333333333333,0.08233333333333333
Italy,Low_PC2,Succinivibrionaceae,-0.15229102363512845,Negative_PC2,7,1,0.007666666666666666,0.009952380952380952,0.005,0.010499999999999999
Italy,Low_PC2,Unclassified_Clostridia UCG-014,-0.1380193446570719,Negative_PC2,7,1,0.004666666666666667,0.005285714285714286,0.0036666666666666666,0.005666666666666667
Italy,Mid_PC2,Alcanivoracaceae1,0.14685328113947216,Positive_PC2,7,0.2857142857142857,0,3.333333333333333e-4,0,1.6666666666666666e-4
Italy,Mid_PC2,Anaerovoracaceae,-0.15292924660746315,Negative_PC2,7,0.8571428571428571,0.001,0.002761904761904762,8.333333333333333e-4,0.002333333333333333
Italy,Mid_PC2,Bacteroidaceae,-0.1643881454753317,Negative_PC2,7,1,0.010333333333333333,0.012476190476190476,0.0085,0.013000000000000001
Italy,Mid_PC2,Beijerinckiaceae,0.1363518196257099,Positive_PC2,7,0.42857142857142855,0,0.001238095238095238,0,6.666666666666666e-4
Italy,Mid_PC2,Caulobacteraceae,-0.16235408323582468,Negative_PC2,7,1,0.0023333333333333335,0.002761904761904762,0.0016666666666666668,0.0031666666666666666
Italy,Mid_PC2,Enterobacteriaceae,0.11127004664285554,Positive_PC2,7,0.14285714285714285,0,1.9047619047619048e-4,0,0
Italy,Mid_PC2,Lactobacillaceae,0.2011501678617839,Positive_PC2,7,1,0.049,0.03942857142857143,0.028166666666666666,0.05183333333333333
