PC2_tertile,family,PC2_loading,PC2_side,n_quarters,prevalence,median_relative_abundance,mean_relative_abundance
Low_PC2,Alcanivoracaceae1,0.14685328113947216,Positive_PC2,17,0.11764705882352941,0,3.9215686274509805e-5
Low_PC2,Anaerovoracaceae,-0.15292924660746315,Negative_PC2,17,1,0.016,0.017313725490196077
Low_PC2,Bacteroidaceae,-0.1643881454753317,Negative_PC2,17,1,0.023333333333333334,0.023568627450980394
Low_PC2,Beijerinckiaceae,0.1363518196257099,Positive_PC2,17,0.5882352941176471,3.333333333333333e-4,5.686274509803922e-4
Low_PC2,Caulobacteraceae,-0.16235408323582468,Negative_PC2,17,0.9411764705882353,0.0023333333333333335,0.003431372549019608
Low_PC2,Enterobacteriaceae,0.11127004664285554,Positive_PC2,17,0.5294117647058824,3.333333333333333e-4,8.627450980392157e-4
Low_PC2,Lactobacillaceae,0.2011501678617839,Positive_PC2,17,0.5882352941176471,3.333333333333333e-4,0.008764705882352942
Low_PC2,Lysobacteraceae,0.10312284500159698,Positive_PC2,17,1,0.008,0.01211764705882353
Low_PC2,Methylophilaceae,0.1016032127590518,Positive_PC2,17,0.17647058823529413,0,5.88235294117647e-5
Low_PC2,Mycobacteriaceae,0.1290880481565365,Positive_PC2,17,0.11764705882352941,0,9.80392156862745e-5
Low_PC2,Paracoccaceae,-0.29481359935087703,Negative_PC2,17,0.9411764705882353,0.010666666666666666,0.016254901960784315
Low_PC2,Propionibacteriaceae,0.1503708374150297,Positive_PC2,17,0.9411764705882353,0.004,0.01388235294117647
Low_PC2,Pseudomonadaceae,0.1613371458129849,Positive_PC2,17,1,0.014,0.0371764705882353
Low_PC2,Ruminococcaceae,-0.1404108264615202,Negative_PC2,17,1,0.01633333333333333,0.01603921568627451
Low_PC2,Saccharimonadaceae,-0.1796883992639053,Negative_PC2,17,1,0.0023333333333333335,0.0035490196078431374
Low_PC2,Sphingomonadaceae,-0.1340996433349894,Negative_PC2,17,0.9411764705882353,0.005,0.007
Low_PC2,Spirochaetaceae,-0.14286470854826516,Negative_PC2,17,0.8823529411764706,0.0023333333333333335,0.0037058823529411765
Low_PC2,Streptococcaceae,0.11347644255034132,Positive_PC2,17,1,0.004333333333333333,0.027372549019607843
Low_PC2,Succinivibrionaceae,-0.15229102363512845,Negative_PC2,17,1,0.005666666666666667,0.007745098039215686
Low_PC2,Unclassified_Clostridia UCG-014,-0.1380193446570719,Negative_PC2,17,0.9411764705882353,0.0033333333333333335,0.0036274509803921567
Mid_PC2,Alcanivoracaceae1,0.14685328113947216,Positive_PC2,16,0.125,0,1.4583333333333335e-4
Mid_PC2,Anaerovoracaceae,-0.15292924660746315,Negative_PC2,16,0.9375,0.014166666666666668,0.016791666666666667
Mid_PC2,Bacteroidaceae,-0.1643881454753317,Negative_PC2,16,1,0.012333333333333333,0.017645833333333333
Mid_PC2,Beijerinckiaceae,0.1363518196257099,Positive_PC2,16,0.4375,0,7.083333333333333e-4
Mid_PC2,Caulobacteraceae,-0.16235408323582468,Negative_PC2,16,0.75,0.0023333333333333335,0.004208333333333333
Mid_PC2,Enterobacteriaceae,0.11127004664285554,Positive_PC2,16,0.4375,0,6.875e-4
Mid_PC2,Lactobacillaceae,0.2011501678617839,Positive_PC2,16,0.875,0.0026666666666666666,0.017770833333333333
Mid_PC2,Lysobacteraceae,0.10312284500159698,Positive_PC2,16,1,0.008833333333333332,0.010333333333333333
Mid_PC2,Methylophilaceae,0.1016032127590518,Positive_PC2,16,0.1875,0,1.4583333333333335e-4
Mid_PC2,Mycobacteriaceae,0.1290880481565365,Positive_PC2,16,0.375,0,5.833333333333334e-4
Mid_PC2,Paracoccaceae,-0.29481359935087703,Negative_PC2,16,0.8125,0.002,0.0075
Mid_PC2,Propionibacteriaceae,0.1503708374150297,Positive_PC2,16,1,0.009000000000000001,0.03054166666666667
Mid_PC2,Pseudomonadaceae,0.1613371458129849,Positive_PC2,16,1,0.028666666666666667,0.09783333333333333
Mid_PC2,Ruminococcaceae,-0.1404108264615202,Negative_PC2,16,1,0.006333333333333333,0.009291666666666667
Mid_PC2,Saccharimonadaceae,-0.1796883992639053,Negative_PC2,16,0.875,0.0013333333333333333,0.0018125
Mid_PC2,Sphingomonadaceae,-0.1340996433349894,Negative_PC2,16,0.8125,0.004,0.005
Mid_PC2,Spirochaetaceae,-0.14286470854826516,Negative_PC2,16,0.625,0.0013333333333333335,0.0017708333333333335
Mid_PC2,Streptococcaceae,0.11347644255034132,Positive_PC2,16,0.9375,0.010833333333333334,0.05520833333333333
Mid_PC2,Succinivibrionaceae,-0.15229102363512845,Negative_PC2,16,0.6875,0.0021666666666666666,0.0023333333333333335
Mid_PC2,Unclassified_Clostridia UCG-014,-0.1380193446570719,Negative_PC2,16,0.9375,0.0016666666666666668,0.0023125
High_PC2,Alcanivoracaceae1,0.14685328113947216,Positive_PC2,16,0.3125,0,7.708333333333333e-4
High_PC2,Anaerovoracaceae,-0.15292924660746315,Negative_PC2,16,0.625,0.011166666666666667,0.012520833333333333
High_PC2,Bacteroidaceae,-0.1643881454753317,Negative_PC2,16,0.8125,0.013166666666666667,0.012125
High_PC2,Beijerinckiaceae,0.1363518196257099,Positive_PC2,16,0.75,5e-4,0.0021666666666666666
High_PC2,Caulobacteraceae,-0.16235408323582468,Negative_PC2,16,0.25,0,2.708333333333333e-4
High_PC2,Enterobacteriaceae,0.11127004664285554,Positive_PC2,16,0.6875,8.333333333333333e-4,0.0039791666666666664
High_PC2,Lactobacillaceae,0.2011501678617839,Positive_PC2,16,0.9375,0.003666666666666667,0.018375
High_PC2,Lysobacteraceae,0.10312284500159698,Positive_PC2,16,1,0.020999999999999998,0.0323125
High_PC2,Methylophilaceae,0.1016032127590518,Positive_PC2,16,0.375,0,0.0012708333333333332
High_PC2,Mycobacteriaceae,0.1290880481565365,Positive_PC2,16,0.375,0,0.0025624999999999997
High_PC2,Paracoccaceae,-0.29481359935087703,Negative_PC2,16,0.25,0,4.375e-4
High_PC2,Propionibacteriaceae,0.1503708374150297,Positive_PC2,16,1,0.006833333333333334,0.0395625
High_PC2,Pseudomonadaceae,0.1613371458129849,Positive_PC2,16,1,0.022,0.1035625
High_PC2,Ruminococcaceae,-0.1404108264615202,Negative_PC2,16,0.875,0.005333333333333334,0.007833333333333335
High_PC2,Saccharimonadaceae,-0.1796883992639053,Negative_PC2,16,0.5,1.6666666666666666e-4,6.458333333333333e-4
High_PC2,Sphingomonadaceae,-0.1340996433349894,Negative_PC2,16,0.5,1.6666666666666666e-4,0.0011666666666666665
High_PC2,Spirochaetaceae,-0.14286470854826516,Negative_PC2,16,0.5625,6.666666666666666e-4,0.001125
High_PC2,Streptococcaceae,0.11347644255034132,Positive_PC2,16,0.9375,0.006,0.07391666666666667
High_PC2,Succinivibrionaceae,-0.15229102363512845,Negative_PC2,16,0.6875,0.0021666666666666666,0.0031875000000000002
High_PC2,Unclassified_Clostridia UCG-014,-0.1380193446570719,Negative_PC2,16,0.5625,0.0011666666666666665,0.0010416666666666667
