family,PC2_loading,PC2_side,prevalence_Low_PC2,prevalence_High_PC2,median_relative_abundance_Low_PC2,median_relative_abundance_High_PC2,mean_relative_abundance_Low_PC2,mean_relative_abundance_High_PC2,prevalence_difference,mean_RA_difference
Pseudomonadaceae,0.1613371458129849,Positive_PC2,1,1,0.014,0.022,0.0371764705882353,0.1035625,0,0.0663860294117647
Streptococcaceae,0.11347644255034132,Positive_PC2,1,0.9375,0.004333333333333333,0.006,0.027372549019607843,0.07391666666666667,-0.0625,0.04654411764705883
Propionibacteriaceae,0.1503708374150297,Positive_PC2,0.9411764705882353,1,0.004,0.006833333333333334,0.01388235294117647,0.0395625,0.05882352941176472,0.02568014705882353
Lysobacteraceae,0.10312284500159698,Positive_PC2,1,1,0.008,0.020999999999999998,0.01211764705882353,0.0323125,0,0.02019485294117647
Paracoccaceae,-0.29481359935087703,Negative_PC2,0.9411764705882353,0.25,0.010666666666666666,0,0.016254901960784315,4.375e-4,-0.6911764705882353,-0.015817401960784315
Bacteroidaceae,-0.1643881454753317,Negative_PC2,1,0.8125,0.023333333333333334,0.013166666666666667,0.023568627450980394,0.012125,-0.1875,-0.011443627450980393
Lactobacillaceae,0.2011501678617839,Positive_PC2,0.5882352941176471,0.9375,3.333333333333333e-4,0.003666666666666667,0.008764705882352942,0.018375,0.3492647058823529,0.009610294117647057
Ruminococcaceae,-0.1404108264615202,Negative_PC2,1,0.875,0.01633333333333333,0.005333333333333334,0.01603921568627451,0.007833333333333335,-0.125,-0.008205882352941174
Sphingomonadaceae,-0.1340996433349894,Negative_PC2,0.9411764705882353,0.5,0.005,1.6666666666666666e-4,0.007,0.0011666666666666665,-0.4411764705882353,-0.005833333333333334
Anaerovoracaceae,-0.15292924660746315,Negative_PC2,1,0.625,0.016,0.011166666666666667,0.017313725490196077,0.012520833333333333,-0.375,-0.004792892156862743
Succinivibrionaceae,-0.15229102363512845,Negative_PC2,1,0.6875,0.005666666666666667,0.0021666666666666666,0.007745098039215686,0.0031875000000000002,-0.3125,-0.004557598039215686
Caulobacteraceae,-0.16235408323582468,Negative_PC2,0.9411764705882353,0.25,0.0023333333333333335,0,0.003431372549019608,2.708333333333333e-4,-0.6911764705882353,-0.0031605392156862744
Enterobacteriaceae,0.11127004664285554,Positive_PC2,0.5294117647058824,0.6875,3.333333333333333e-4,8.333333333333333e-4,8.627450980392157e-4,0.0039791666666666664,0.15808823529411764,0.003116421568627451
Saccharimonadaceae,-0.1796883992639053,Negative_PC2,1,0.5,0.0023333333333333335,1.6666666666666666e-4,0.0035490196078431374,6.458333333333333e-4,-0.5,-0.002903186274509804
Unclassified_Clostridia UCG-014,-0.1380193446570719,Negative_PC2,0.9411764705882353,0.5625,0.0033333333333333335,0.0011666666666666665,0.0036274509803921567,0.0010416666666666667,-0.3786764705882353,-0.00258578431372549
Spirochaetaceae,-0.14286470854826516,Negative_PC2,0.8823529411764706,0.5625,0.0023333333333333335,6.666666666666666e-4,0.0037058823529411765,0.001125,-0.31985294117647056,-0.0025808823529411768
Mycobacteriaceae,0.1290880481565365,Positive_PC2,0.11764705882352941,0.375,0,0,9.80392156862745e-5,0.0025624999999999997,0.25735294117647056,0.002464460784313725
Beijerinckiaceae,0.1363518196257099,Positive_PC2,0.5882352941176471,0.75,3.333333333333333e-4,5e-4,5.686274509803922e-4,0.0021666666666666666,0.16176470588235292,0.0015980392156862743
Methylophilaceae,0.1016032127590518,Positive_PC2,0.17647058823529413,0.375,0,0,5.88235294117647e-5,0.0012708333333333332,0.19852941176470587,0.0012120098039215686
Alcanivoracaceae1,0.14685328113947216,Positive_PC2,0.11764705882352941,0.3125,0,0,3.9215686274509805e-5,7.708333333333333e-4,0.1948529411764706,7.316176470588236e-4
