family,PC1_loading,PC2_loading,PC2_side
Lactobacillaceae,-0.03560494567666587,0.2011501678617839,Positive_PC2
Pseudomonadaceae,-0.04264583266685776,0.1613371458129849,Positive_PC2
Propionibacteriaceae,-0.04902449642178314,0.1503708374150297,Positive_PC2
Alcanivoracaceae1,0.05117345803373102,0.14685328113947216,Positive_PC2
Beijerinckiaceae,-0.06606371115846804,0.1363518196257099,Positive_PC2
Mycobacteriaceae,-0.04018685723820803,0.1290880481565365,Positive_PC2
Streptococcaceae,-0.04245090486950417,0.11347644255034132,Positive_PC2
Enterobacteriaceae,-0.08021775850937725,0.11127004664285554,Positive_PC2
Lysobacteraceae,-0.09512690706557896,0.10312284500159698,Positive_PC2
Methylophilaceae,-0.0510389721339029,0.1016032127590518,Positive_PC2
Paracoccaceae,0.12172304644871904,-0.29481359935087703,Negative_PC2
Saccharimonadaceae,0.05369979465439969,-0.1796883992639053,Negative_PC2
Bacteroidaceae,-0.10068667206904312,-0.1643881454753317,Negative_PC2
Caulobacteraceae,0.11245187484094976,-0.16235408323582468,Negative_PC2
Anaerovoracaceae,-0.01578329733982574,-0.15292924660746315,Negative_PC2
Succinivibrionaceae,-0.05490613155634746,-0.15229102363512845,Negative_PC2
Spirochaetaceae,-0.04457257953329367,-0.14286470854826516,Negative_PC2
Ruminococcaceae,-0.01642970327973404,-0.1404108264615202,Negative_PC2
Unclassified_Clostridia UCG-014,-0.04151574776526023,-0.1380193446570719,Negative_PC2
Sphingomonadaceae,0.09501643476502852,-0.1340996433349894,Negative_PC2
