PC,variance_explained,cumulative_variance
PC1,0.10029787504181449,0.10029787504181449
PC2,0.09264485452003077,0.19294272956184527
PC3,0.08771349086273335,0.2806562204245786
PC4,0.0565252603203751,0.3371814807449537
PC5,0.0472038359895117,0.3843853167344654
PC6,0.04268196024386387,0.4270672769783293
PC7,0.037184434616999294,0.4642517115953286
PC8,0.032424446333956816,0.4966761579292854
PC9,0.030370293500360433,0.5270464514296458
PC10,0.02871197555314244,0.5557584269827882
PC11,0.026370988907168418,0.5821294158899567
PC12,0.025923703556018165,0.6080531194459748
PC13,0.02469968897400231,0.6327528084199772
PC14,0.023450349073410863,0.656203157493388
PC15,0.021353437918016475,0.6775565954114044
PC16,0.020687017522248993,0.6982436129336534
PC17,0.019550745632606243,0.7177943585662597
PC18,0.018925213905915346,0.7367195724721751
PC19,0.01752406477341404,0.7542436372455891
PC20,0.016995343109223324,0.7712389803548124
PC21,0.01598737270128911,0.7872263530561016
PC22,0.015121745069203704,0.8023480981253053
PC23,0.014879964624255292,0.8172280627495605
PC24,0.01356946730793808,0.8307975300574987
PC25,0.012829131790617138,0.8436266618481157
PC26,0.012552147341692927,0.8561788091898087
PC27,0.011424855719135702,0.8676036649089444
PC28,0.011307126284412466,0.8789107911933569
PC29,0.010833606012009162,0.889744397205366
PC30,0.009809663631946621,0.8995540608373126
PC31,0.009714092476311218,0.9092681533136239
PC32,0.008842166775346995,0.9181103200889709
PC33,0.008581202003085426,0.9266915220920563
PC34,0.00822216836404982,0.9349136904561061
PC35,0.007658411022114895,0.942572101478221
PC36,0.007303812188485473,0.9498759136667064
PC37,0.006898666055496022,0.9567745797222025
PC38,0.006336852901508698,0.9631114326237112
PC39,0.005901526459767365,0.9690129590834785
PC40,0.005594250326687712,0.9746072094101663
PC41,0.004899173562384648,0.9795063829725509
PC42,0.004708043531566918,0.9842144265041178
PC43,0.004375889251151217,0.988590315755269
PC44,0.003520678759526185,0.9921109945147952
PC45,0.0031379966323394834,0.9952489911471347
PC46,0.0025363063896278524,0.9977852975367626
PC47,0.0022147024632374803,1
PC48,1.2659371599556753e-30,1
PC49,2.804968796070877e-33,1
