trajectory_global,bray_displacement,ecological_resistance,study,cow_global,cow_id,quarter,PC1,PC2,z_PC1,z_PC2
Italy__270_FL,0.31591709034024246,0.6840829096597576,Italy,Italy__270,270,FL,-0.9622986054187703,1.5754161297986955,-0.23804028875486427,0.40548156477801345
Italy__270_FR,0.5203039658038471,0.4796960341961529,Italy,Italy__270,270,FR,-2.7701169797367053,-5.72160977148398,-0.6852337123094159,-1.4726314142073327
Italy__270_RL,0.5480598937369183,0.4519401062630817,Italy,Italy__270,270,RL,-0.9903374230094951,-6.030935132513124,-0.24497614857847544,-1.552245764373754
Italy__270_RR,0.5421186981493299,0.4578813018506701,Italy,Italy__270,270,RR,-2.479742865780407,-6.200705579861744,-0.613404929077401,-1.5959413857031977
Italy__321_FL,0.4146110804633935,0.5853889195366064,Italy,Italy__321,321,FL,-0.6940054510891368,-0.8906342587880498,-0.17167359179827155,-0.22923198897578245
Italy__321_FR,0.2537644634648914,0.7462355365351085,Italy,Italy__321,321,FR,0.7103412048734256,5.919826691130445,0.1757145075035876,1.5236486059343188
Italy__321_RL,0.6084346864634339,0.3915653135365661,Italy,Italy__321,321,RL,-0.0771361873749748,-4.488708330645693,-0.01908089673287825,-1.155306489070217
Italy__321_RR,0.3088971419344421,0.6911028580655578,Italy,Italy__321,321,RR,1.3156255659110632,0.4833916847616196,0.325441487537505,0.12441564678080783
Italy__355_FL,0.6830722747873101,0.31692772521268986,Italy,Italy__355,355,FL,-3.6163541868603963,-7.181916628614431,-0.8945643171804184,-1.8484860841483974
Italy__355_FR,0.48325662593239166,0.5167433740676084,Italy,Italy__355,355,FR,0.5679320532901166,-1.4769038202533404,0.14048727619166654,-0.38012640643680057
Italy__355_RL,0.4057982339610846,0.5942017660389154,Italy,Italy__355,355,RL,-0.2772139382585243,-2.3923294176367325,-0.06857339867100372,-0.6157392052674786
Italy__355_RR,0.3976962715974538,0.6023037284025462,Italy,Italy__355,355,RR,-0.7871463508514933,-0.7701187909135911,-0.19471351573609205,-0.19821364431789576
Italy__365_FL,0.35896831013603836,0.6410316898639616,Italy,Italy__365,365,FL,3.3498767719480913,5.876600900782761,0.8286467730468378,1.5125231256390366
Italy__365_FR,0.3316239316239316,0.6683760683760684,Italy,Italy__365,365,FR,1.5182982607973377,3.9654495020097227,0.37557589128888574,1.0206298124728188
Italy__365_RL,0.7351338545368397,0.26486614546316034,Italy,Italy__365,365,RL,-1.3058591727505604,-4.430705135503814,-0.32302561055823004,-1.1403775913120997
Italy__365_RR,0.39076057218791527,0.6092394278120847,Italy,Italy__365,365,RR,-1.5530070270970493,1.049060945612195,-0.3841616719455178,0.27000794629967967
Italy__366_FL,0.5454182312055604,0.45458176879443957,Italy,Italy__366,366,FL,0.9100487966305758,6.3363910993777575,0.22511544453157276,1.630864207509079
Italy__366_FR,0.22319262493934983,0.7768073750606501,Italy,Italy__366,366,FR,3.88123115501435,7.1805552359721965,0.9600859646491285,1.848135688079442
Italy__366_RL,0.48881440486398003,0.51118559513602,Italy,Italy__366,366,RL,0.12743941002813278,0.221155612637606,0.031524221058851956,0.05692116652582152
