family,PC1_loading,PC2_loading
[Eubacterium] coprostanoligenes group,-0.06199762463067814,-0.0972613937095719
Acetobacteraceae,0.0094493282202426,0.06449893521613197
Acholeplasmataceae,0.020044008683828465,-0.09353885177082896
Acidaminococcaceae,-0.14569483102852696,-0.11348433044306228
Actinomycetaceae,0.15835107762523015,0.04250222225682868
Aerococcaceae,0.02641615994308058,-0.012944795644582292
Aeromonadaceae,-0.01708075814656196,0.06602657912699447
Akkermansiaceae,-0.028700818863117844,-0.04350174125562496
Alcaligenaceae,0.01811814052086625,0.09170140696687397
Alcanivoracaceae1,0.05117345803373102,0.14685328113947216
Alteromonadaceae,-0.05939998335162676,0.08746139055682722
Anaerovoracaceae,-0.015783297339825742,-0.15292924660746315
Arcobacteraceae,-0.006304390134661291,-0.004286757487082511
Atopobiaceae,0.0781435342272384,0.01109613509751645
Bacillaceae,-0.00283225938409506,0.017129549491027515
Bacteriovoracaceae,-0.022751902620974544,0.03314472982981345
Bacteroidaceae,-0.10068667206904312,-0.1643881454753317
Bacteroidales RF16 group,-0.13438897342137843,-0.10327903871123291
Barnesiellaceae,-0.039354567743650856,0.01667189868983501
Beijerinckiaceae,-0.06606371115846804,0.1363518196257099
Bifidobacteriaceae,-0.08029606565076712,-0.011857328992962194
Bogoriellaceae,0.049982594426529844,-0.018480765200856227
Brevibacteriaceae,0.06151507042576309,0.06530084070375798
Butyricicoccaceae,-0.1341603671932256,-0.08214084912703619
Caldalkalibacillaceae,0.01616935753943134,0.026877197084014908
Campylobacteraceae,0.07541400180865966,-0.0826319029877459
Carnobacteriaceae,-0.010720174875039972,-0.02235241693804885
Caulobacteraceae,0.11245187484094975,-0.16235408323582468
Cellulomonadaceae,-0.07161007931650658,0.060964681555613125
Cellvibrionaceae,-0.08414870290138064,-0.03910144911518539
Chitinophagaceae,-0.028791916602237032,0.047452992615878355
Christensenellaceae,-0.018293169692434986,-0.13258492329750024
Clostridiaceae,0.0463238059993063,-0.07921992029669196
Comamonadaceae,-0.09219094328881434,0.060074703551186937
Corynebacteriaceae,0.1348977090020029,0.007953266445300172
Crocinitomicaceae,-0.05809119986425875,-0.027527591825243086
Cyclobacteriaceae,0.014708813713022387,0.05890144581767592
Defluviitaleaceae,0.06728288762539239,-0.0029026090334487407
Deinococcaceae,0.0266110680156775,0.0549102984221919
Demequinaceae,0.013538316986829666,0.015763441019648
Dermabacteraceae,0.06549522206382628,0.08884154845251772
Dermatophilaceae,0.00916551413150455,-0.0105570354649491
Desulfovibrionaceae,-0.09127583723267255,-0.04018773801023311
Devosiaceae,0.10875439778521162,-0.12063802649428358
Dietziaceae,0.024410124051639837,-0.015919598177768158
Dysgonomonadaceae,-0.033733946190226585,0.05931568366850637
Eggerthellaceae,0.0100111502348891,0.037263086983624766
Enterobacteriaceae,-0.08021775850937725,0.11127004664285554
Enterococcaceae,-0.04992085123965397,0.003739952477144405
Erwiniaceae,-0.05910764009445143,0.039416024037148285
Erysipelatoclostridiaceae,-0.029537409933597922,-0.016793152838436083
Erysipelotrichaceae,0.04555927512788273,-0.08916535066488171
Exiguobacteraceae,-0.008342563346381494,-0.011660015584788649
F082,-0.024045978762518593,0.019694768910414176
Family XI,0.289805812208003,0.006756293037109293
Fibrobacteraceae,-0.04847073283401378,0.04194764643591259
Flavobacteriaceae,-0.04870429826931368,-0.0867197309726275
Fusobacteriaceae,0.32201797618714983,-4.7928339105583317e-4
Gastranaerophilaceae,-0.09636540772151972,-0.09151180154060236
Gemellaceae,0.027928567547109887,0.05246150010844886
Geodermatophilaceae,0.040292819960685566,0.016359229497461433
gir-aah93h0,-0.06664273362352906,0.00361039693243267
Halomonadaceae,0.044425511026463825,0.04084471494805439
Hymenobacteraceae,0.014092558396178562,0.05195679405821476
Idiomarinaceae,0.06009404016796781,-0.0687173928947952
Incertae Sedis,-0.04003352489951183,0.05505164934963669
Intrasporangiaceae,-0.030833841271042113,0.08443858910417593
JG30-KF-CM45,0.026857107800480305,-0.022593785460387785
Kineosporiaceae,0.03710065974779127,0.0162927655413793
