family,prevalence,retained
[Eubacterium] coprostanoligenes group,0.9387755102040817,TRUE
211ds20,0.02040816326530612,FALSE
37-13,0.02040816326530612,FALSE
67-14,0.04081632653061224,FALSE
A4b,0.02040816326530612,FALSE
Acetobacteraceae,0.16326530612244897,TRUE
Acholeplasmataceae,0.6326530612244898,TRUE
Acidaminococcaceae,0.9183673469387755,TRUE
Acidobacteriaceae (Subgroup 1),0.02040816326530612,FALSE
Actinomycetaceae,0.5102040816326531,TRUE
Aerococcaceae,0.9795918367346939,TRUE
Aeromonadaceae,0.16326530612244897,TRUE
AKAU3644,0.04081632653061224,FALSE
Akkermansiaceae,0.2653061224489796,TRUE
AKYH767,0,FALSE
Alcaligenaceae,0.9795918367346939,TRUE
Alcanivoracaceae1,0.1836734693877551,TRUE
Alkalibacteraceae,0.02040816326530612,FALSE
Alteromonadaceae,0.14285714285714285,TRUE
Amb-16S-1323,0.04081632653061224,FALSE
Anaerofustaceae,0.02040816326530612,FALSE
Anaerovoracaceae,0.8571428571428571,TRUE
Arcobacteraceae,0.20408163265306123,TRUE
Atopobiaceae,0.3877551020408163,TRUE
Azospirillaceae,0.02040816326530612,FALSE
Bacillaceae,0.9591836734693877,TRUE
Bacteriovoracaceae,0.20408163265306123,TRUE
Bacteroidaceae,0.9387755102040817,TRUE
Bacteroidales RF16 group,0.7959183673469388,TRUE
Balneolaceae,0.02040816326530612,FALSE
Barnesiellaceae,0.24489795918367346,TRUE
Beijerinckiaceae,0.5918367346938775,TRUE
Beutenbergiaceae,0.02040816326530612,FALSE
Bifidobacteriaceae,0.7346938775510204,TRUE
BIrii41,0.04081632653061224,FALSE
Blastocatellaceae,0.04081632653061224,FALSE
Bogoriellaceae,0.20408163265306123,TRUE
Bradymonadaceae,0,FALSE
Brevibacillaceae,0.04081632653061224,FALSE
Brevibacteriaceae,0.5714285714285714,TRUE
Bryobacteraceae,0.061224489795918366,FALSE
Burkholderiaceae,0.061224489795918366,FALSE
Butyricicoccaceae,0.7755102040816326,TRUE
Caedibacteraceae,0.061224489795918366,FALSE
Caldalkalibacillaceae,0.12244897959183673,TRUE
Caldicoprobacteraceae,0,FALSE
Caldilineaceae,0,FALSE
Caloramatoraceae,0,FALSE
Campylobacteraceae,0.46938775510204084,TRUE
Cardiobacteriaceae,0.04081632653061224,FALSE
Carnobacteriaceae,1,TRUE
Caulobacteraceae,0.6530612244897959,TRUE
Cellulomonadaceae,0.30612244897959184,TRUE
Cellvibrionaceae,0.7551020408163265,TRUE
Chitinophagaceae,0.673469387755102,TRUE
Chloroflexaceae,0,FALSE
Christensenellaceae,0.9591836734693877,TRUE
Chromatiaceae,0.02040816326530612,FALSE
Chroococcidiopsaceae,0.02040816326530612,FALSE
Chthoniobacteraceae,0.02040816326530612,FALSE
Clostridiaceae,0.9183673469387755,TRUE
Comamonadaceae,0.9591836734693877,TRUE
Coriobacteriaceae,0,FALSE
Coriobacteriales Incertae Sedis,0.02040816326530612,FALSE
Corynebacteriaceae,1,TRUE
Coxiellaceae,0.061224489795918366,FALSE
CR-115,0.02040816326530612,FALSE
Crocinitomicaceae,0.42857142857142855,TRUE
Cryomorphaceae,0,FALSE
Cyclobacteriaceae,0.14285714285714285,TRUE
Defluviicoccaceae,0,FALSE
Defluviitaleaceae,0.3673469387755102,TRUE
Deinococcaceae,0.20408163265306123,TRUE
Demequinaceae,0.3469387755102041,TRUE
Dermabacteraceae,0.5102040816326531,TRUE
Dermacoccaceae,0,FALSE
Dermatophilaceae,0.1836734693877551,TRUE
Desulfovibrionaceae,0.673469387755102,TRUE
DEV007,0,FALSE
Devosiaceae,0.5102040816326531,TRUE
Dietziaceae,0.8367346938775511,TRUE
Dysgonomonadaceae,0.4489795918367347,TRUE
Eggerthellaceae,0.42857142857142855,TRUE
Elsteraceae,0,FALSE
Elusimicrobiaceae,0.04081632653061224,FALSE
Enterobacteriaceae,0.5510204081632653,TRUE
Enterococcaceae,0.5306122448979592,TRUE
env.OPS 17,0,FALSE
Erwiniaceae,0.12244897959183673,TRUE
Erysipelatoclostridiaceae,0.5918367346938775,TRUE
Erysipelotrichaceae,0.9183673469387755,TRUE
Ethanoligenenaceae,0.04081632653061224,FALSE
Eubacteriaceae,0.02040816326530612,FALSE
Euzebyaceae,0,FALSE
Exiguobacteraceae,0.10204081632653061,TRUE
F082,0.32653061224489793,TRUE
Family XI,0.8367346938775511,TRUE
Fibrobacteraceae,0.16326530612244897,TRUE
Fimbriimonadaceae,0,FALSE
Flavobacteriaceae,0.9183673469387755,TRUE
Fodinicurvataceae,0.02040816326530612,FALSE
Frankiaceae,0.02040816326530612,FALSE
Fusibacteraceae,0.08163265306122448,FALSE
Fusobacteriaceae,0.5510204081632653,TRUE
Gaiellaceae,0,FALSE
Garciellaceae,0.061224489795918366,FALSE
Gastranaerophilaceae,0.5918367346938775,TRUE
Gemellaceae,0.12244897959183673,TRUE
Geminicoccaceae,0.061224489795918366,FALSE
Gemmataceae,0.02040816326530612,FALSE
Gemmatimonadaceae,0,FALSE
Geobacteraceae,0,FALSE
Geodermatophilaceae,0.16326530612244897,TRUE
gir-aah93h0,0.2857142857142857,TRUE
Gottschalkiaceae,0,FALSE
Halanaerobiaceae,0,FALSE
Haliangiaceae,0,FALSE
Halieaceae,0.04081632653061224,FALSE
Halomonadaceae,0.24489795918367346,TRUE
HAW-RM37-2,0.02040816326530612,FALSE
Holosporaceae,0,FALSE
Hydrogenophilaceae,0.02040816326530612,FALSE
Hymenobacteraceae,0.32653061224489793,TRUE
Hyphomicrobiaceae,0.08163265306122448,FALSE
Hyphomicrobiales Incertae Sedis,0.04081632653061224,FALSE
Iamiaceae,0.02040816326530612,FALSE
Idiomarinaceae,0.3469387755102041,TRUE
Ilumatobacteraceae,0.08163265306122448,FALSE
Incertae Sedis,0.2653061224489796,TRUE
Intrasporangiaceae,0.46938775510204084,TRUE
Isosphaeraceae,0.02040816326530612,FALSE
JG30-KF-CM45,0.42857142857142855,TRUE
Jonesiaceae,0.02040816326530612,FALSE
Kaistiaceae,0.02040816326530612,FALSE
Kineosporiaceae,0.10204081632653061,TRUE
Labraceae,0,FALSE
Lachnospiraceae,1,TRUE
Lactobacillaceae,0.7959183673469388,TRUE
Legionellaceae,0.10204081632653061,TRUE
Lentimicrobiaceae,0.08163265306122448,FALSE
Leptolyngbyaceae,0.02040816326530612,FALSE
Leptotrichiaceae,0.20408163265306123,TRUE
Limnochordaceae,0.02040816326530612,FALSE
Listeriaceae,0.061224489795918366,FALSE
LWQ8,0.04081632653061224,FALSE
Lysobacteraceae,1,TRUE
M2PB4-65 termite group,0,FALSE
Marinifilaceae,0.20408163265306123,TRUE
Marinilabiliaceae,0.40816326530612246,TRUE
Marinobacteraceae,0.04081632653061224,FALSE
Marinococcaceae,0.02040816326530612,FALSE
Methyloligellaceae,0.061224489795918366,FALSE
Methylophagaceae,0.08163265306122448,FALSE
Methylophilaceae,0.24489795918367346,TRUE
Methylopilaceae,0,FALSE
Microbacteriaceae,0.8979591836734694,TRUE
Micrococcaceae,0.9591836734693877,TRUE
Micrococcales Incertae Sedis,0.40816326530612246,TRUE
Micromonosporaceae,0.08163265306122448,FALSE
Micropepsaceae,0,FALSE
Microscillaceae,0.02040816326530612,FALSE
Microtrichaceae,0.02040816326530612,FALSE
ML635J-40 aquatic group,0.02040816326530612,FALSE
Monoglobaceae,0.9183673469387755,TRUE
Moraxellaceae,1,TRUE
Morganellaceae,0.02040816326530612,FALSE
Muribaculaceae,0.7755102040816326,TRUE
MWH-CFBk5,0,FALSE
Mycobacteriaceae,0.2857142857142857,TRUE
Mycoplasmataceae,0.12244897959183673,TRUE
Myxococcaceae,0.04081632653061224,FALSE
Nakamurellaceae,0.08163265306122448,FALSE
Nannocystaceae,0.02040816326530612,FALSE
Neisseriaceae,0.40816326530612246,TRUE
Nevskiaceae,0.02040816326530612,FALSE
Nitrosomonadaceae,0.02040816326530612,FALSE
Nocardiaceae,0.3469387755102041,TRUE
Nocardioidaceae,0.7346938775510204,TRUE
Nocardiopsidaceae,0.02040816326530612,FALSE
NS11-12 marine group,0.02040816326530612,FALSE
NS9 marine group,0,FALSE
Obscuribacteraceae,0,FALSE
Oligoflexaceae,0,FALSE
Opitutaceae,0,FALSE
Orbaceae,0,FALSE
Oscillospiraceae,1,TRUE
Oxalobacteraceae,0.42857142857142855,TRUE
p-251-o5,0.40816326530612246,TRUE
p-2534-18B5 gut group,0.4897959183673469,TRUE
P5D1-392,0.02040816326530612,FALSE
Paenibacillaceae,0.5102040816326531,TRUE
Paludibacteraceae,0.5714285714285714,TRUE
Paracaedibacteraceae,0,FALSE
Parachlamydiaceae,0.02040816326530612,FALSE
Paracoccaceae,0.673469387755102,TRUE
Parvularculaceae,0,FALSE
Pasteurellaceae,0.2653061224489796,TRUE
Pedosphaeraceae,0.02040816326530612,FALSE
PeH15,0.04081632653061224,FALSE
Peptococcaceae,0.6122448979591837,TRUE
