family,PC1_loading,PC2_loading,PC1_resistance_direction_score,PC2_resistance_direction_score,combined_direction_score
Paracoccaceae,0.12172304644871905,-0.29481359935087703,-0.003485726221183004,-0.01834112369503915,-0.021826849916222153
Porphyromonadaceae,0.2546099820788283,-0.11521759852910335,-0.0072911475402565075,-0.007167987606815122,-0.01445913514707163
Lactobacillaceae,-0.03560494567666587,0.20115016786178394,0.0010196022558574133,0.0125140770919457,0.013533679347803113
Caulobacteraceae,0.11245187484094975,-0.16235408323582468,-0.0032202319954210516,-0.01010047138116895,-0.013320703376590002
Saccharimonadaceae,0.053699794654399696,-0.1796883992639053,-0.0015377760231941168,-0.011178884436536644,-0.01271666045973076
Pseudomonadaceae,-0.04264583266685776,0.1613371458129849,0.0012212288591846457,0.01003720504914259,0.011258433908327235
Sphingomonadaceae,0.09501643476502852,-0.1340996433349894,-0.002720941413862138,-0.008342688910155785,-0.011063630324017923
Selenomonadaceae,0.10522034310388022,-0.12498027598336105,-0.0030131459872193103,-0.0077753492589830095,-0.01078849524620232
Propionibacteriaceae,-0.04902449642178314,0.1503708374150297,0.0014038916839769922,0.009354962373608958,0.01075885405758595
Devosiaceae,0.10875439778521162,-0.12063802649428358,-0.00311434906608738,-0.0075052065818159925,-0.010619555647903373
Beijerinckiaceae,-0.06606371115846804,0.1363518196257099,0.0018918357449322252,0.008482802677031163,0.010374638421963388
Fusobacteriaceae,0.32201797618714983,-4.7928339105583317e-4,-0.009221478890283267,-2.9817471038269814e-5,-0.009251296361321538
Enterobacteriaceae,-0.08021775850937725,0.11127004664285554,0.002297158610456425,0.006922400097969965,0.00921955870842639
Mycobacteriaceae,-0.04018685723820803,0.1290880481565365,0.0011508123244448575,0.008030904490170233,0.00918171681461509
Lysobacteraceae,-0.09512690706557896,0.10312284500159698,0.002724104957710059,0.0064155414137038284,0.009139646371413887
Anaerovoracaceae,-0.015783297339825742,-0.15292924660746315,4.519789390691635e-4,-0.009514127688792059,-0.009062148749722896
Peptostreptococcaceae,0.09515253805122752,-0.09206383828106326,-0.002724838940315297,-0.005727531733512071,-0.008452370673827368
Unclassified_Absconditabacteriales (SR1),0.19407243561325033,-0.04423861722082818,-0.005557562001300666,-0.0027521998724998266,-0.008309761873800493
Streptococcaceae,-0.04245090486950417,0.11347644255034132,0.001215646802587343,0.007059665747683978,0.008275312550271322
Ruminococcaceae,-0.016429703279734045,-0.1404108264615202,4.7048976507955314e-4,-0.008735324089267651,-0.008264834324188099
Succinivibrionaceae,-0.054906131556347465,-0.15229102363512845,0.00157232133152627,-0.009474422171453714,-0.007902100839927444
Family XI,0.289805812208003,0.006756293037109293,-0.008299034144616614,4.203266287118265e-4,-0.007878707515904788
Unclassified_Clostridia,0.12548388771682717,-0.0684732884313165,-0.003593423681971372,-0.0042599020387460735,-0.007853325720717445
Methylophilaceae,-0.051038972133902905,0.10160321275905179,0.0014615792872414279,0.006321001124541934,0.007782580411783362
Christensenellaceae,-0.018293169692434986,-0.13258492329750024,5.238529853287442e-4,-0.00824845422209488,-0.0077246012367661356
Alcanivoracaceae1,0.05117345803373102,0.14685328113947216,-0.0014654304973539497,0.009136126014308322,0.007670695516954372
Spirochaetaceae,-0.044572579533293674,-0.14286470854826516,0.0012764042123314904,-0.008887986500313569,-0.007611582287982079
Unclassified_Clostridia UCG-014,-0.041515747765260236,-0.1380193446570719,0.0011888671438925376,-0.00858654376269385,-0.007397676618801312
Bacteroidaceae,-0.10068667206904312,-0.1643881454753317,0.00288331736013999,-0.010227015703480911,-0.007343698343340921
Campylobacteraceae,0.07541400180865966,-0.0826319029877459,-0.0021595956658834823,-0.005140746414655563,-0.0073003420805390455
Alteromonadaceae,-0.05939998335162676,0.08746139055682722,0.0017010096735775397,0.00544120144482787,0.00714221111840541
Oscillospiraceae,-0.028298328383657832,-0.12723989506243197,8.103660575412866e-4,-0.007915926061152793,-0.007105560003611506
Erysipelotrichaceae,0.04555927512788273,-0.08916535066488171,-0.0013046597547840349,-0.005547209251733833,-0.006851869006517868
Rhizobiaceae,0.13707861193770246,-0.046960358396460254,-0.003925456402341361,-0.0029215264967738185,-0.00684698289911518
Acholeplasmataceae,0.020044008683828465,-0.09353885177082896,-5.739909465400664e-4,-0.0058192961735759295,-0.006393287120115996
Comamonadaceae,-0.09219094328881434,0.060074703551186937,0.0026400291296751156,0.0037374041468954014,0.0063774332765705165
Clostridiaceae,0.0463238059993063,-0.07921992029669196,-0.0013265532694731186,-0.004928478063671276,-0.006255031333144394
Intrasporangiaceae,-0.030833841271042113,0.08443858910417593,8.829743598599953e-4,0.005253145074732688,0.006136119434592683
Pseudohongiellaceae,-0.061163209306742225,0.07003811912019516,0.0017515023545030515,0.004357254241255422,0.006108756595758474
Idiomarinaceae,0.06009404016796781,-0.0687173928947952,-0.0017208850555556765,-0.004275088414710519,-0.005995973470266196
Paenibacillaceae,-0.044662173273123815,0.0749739793097415,0.0012789698665546727,0.004664326989857309,0.005943296856411982
Cellulomonadaceae,-0.07161007931650658,0.060964681555613125,0.002050664508135702,0.003792772002045182,0.005843436510180884
Unclassified_Bacilli,-0.006884377283343474,0.08560764439963103,1.9714470770477085e-4,0.005325875056753508,0.0055230197644582785
Prevotellaceae,-0.032696192334637865,-0.10362796635110642,9.363056403760367e-4,-0.006446966331593494,-0.005510660691217457
Spirosomataceae,-0.04834186482819108,0.06464988930037462,0.001384343480784475,0.004022038396938121,0.005406381877722596
Alcaligenaceae,0.01811814052086625,0.09170140696687397,-5.188407564155768e-4,0.005704983935245173,0.005186143178829597
Unclassified_Pseudomonadota,-0.06770811186673369,0.05210121785796253,0.0019389256825747922,0.0032413527852823277,0.00518027846785712
Saccharospirillaceae,-0.029643269206662232,0.06752762720474316,8.488805018430149e-4,0.004201069984972525,0.00504995048681554
Monoglobaceae,-0.07456285439313161,-0.11222834063935302,0.002135221753539379,-0.006982018069341276,-0.004846796315801897
Nocardioidaceae,-0.033064365980924874,0.06243098624817589,9.46848857706305e-4,0.003883994645098707,0.0048308435028050125
Pasteurellaceae,-0.04264039532746835,0.05721370704881144,0.0012210731526275385,0.003559414085186305,0.004780487237813843
Unclassified_Pseudomonadales,0.0257074754852067,0.08842244277550707,-7.361730090854727e-4,0.005500991012402126,0.004764818003316654
Lachnospiraceae,-0.0017195333700686273,-0.0759179834346782,4.924147670566676e-5,-0.004723055951011792,-0.004673814474306126
Dysgonomonadaceae,-0.033733946190226585,0.05931568366850637,9.660233144820928e-4,0.0036901835383960297,0.004656206852878123
Saprospiraceae,-0.015043726081712491,0.06745354630321103,4.3080018120818003e-4,0.0041964612186828005,0.00462726139989098
Aeromonadaceae,-0.01708075814656196,0.06602657912699447,4.891337202461447e-4,0.004107685865220902,0.004596819585467047
Incertae Sedis,-0.04003352489951183,0.05505164934963669,0.0011464214176351612,0.0034249068311665194,0.00457132824880168
Oxalobacteraceae,-0.013248484549340281,0.06634822285952433,3.793906850994633e-4,0.0041276961615473035,0.004507086846646767
Nocardiaceae,-0.03159304953296676,0.05785965304467575,9.047154534584407e-4,0.003599600071981176,0.004504315525439616
Unclassified_RF39,-0.07403786050974266,0.035483461020540556,0.0021201877480763257,0.002207518747909817,0.0043277064959861425
Legionellaceae,-0.009238158102307617,0.06522254640836339,2.6454883337326095e-4,0.004057664890680579,0.0043222137240538396
[Eubacterium] coprostanoligenes group,-0.06199762463067814,-0.0972613937095719,0.0017753971177287295,-0.006050885226146044,-0.004275488108417315
Pseudobdellovibrionaceae,-0.019148342861386964,0.057972514802120734,5.483421812997298e-4,0.0036066214965636773,0.004154963677863407
Erwiniaceae,-0.05910764009445143,0.039416024037148285,0.0016926379758025304,0.002452173760042737,0.0041448117358452675
Micrococcaceae,-0.027379571525753748,-0.07839225140185979,7.840560450668849e-4,-0.004876986620901752,-0.004092930575834867
Unclassified_Bacteroidia,-0.030675648755494726,0.05026272087026503,8.784442744281396e-4,0.00312697508785398,0.00400541936228212
Flavobacteriaceae,-0.04870429826931368,-0.0867197309726275,0.0013947223185314162,-0.005395060865820087,-0.00400033854728867
Fibrobacteraceae,-0.04847073283401378,0.04194764643591259,0.0013880338138813958,0.002609672598858531,0.003997706412739927
Weeksellaceae,-0.11862937771570319,-0.11632692466982279,0.0033971342697248184,-0.007237001682182997,-0.003839867412458178
Unclassified_Veillonellales-Selenomonadales,-0.01751102522056168,0.05363858798180248,5.014550781624073e-4,0.0033369965943484316,0.003838451672510839
Chitinophagaceae,-0.028791916602237032,0.047452992615878355,8.24500713599976e-4,0.0029521745576999454,0.0037766752712999215
Acetobacteraceae,0.0094493282202426,0.06449893521613197,-2.705960137445342e-4,0.004012647149256665,0.0037420511355121303
p-2534-18B5 gut group,-0.06121297057724437,-0.08804411147125733,0.0017529273448434121,-0.00547745403424295,-0.003724526689399538
Dermabacteraceae,0.06549522206382628,0.08884154845251772,-0.0018755561873507922,0.005527064670741737,0.003651508483390945
Micrococcales Incertae Sedis,-0.017327455758048893,0.04966010350980289,4.961982849128326e-4,0.0030894846885869518,0.0035856829734997844
Pseudonocardiaceae,0.18135715108197897,0.026151083869028424,-0.005193440316923273,0.0016269272009746807,-0.003566513115948592
Promicromonosporaceae,-0.032387526184183155,0.04220830022835127,9.274665115042097e-4,0.002625888551783447,0.0035533550632876566
Rhodanobacteraceae,0.010378340518447058,0.06170632567003717,-2.9719970648908793e-4,0.003838911618637834,0.003541711912148746
Staphylococcaceae,0.041976130532078354,0.07612932849220178,-0.0012020509108857074,0.004736204278805727,0.003534153367920019
Unclassified_Microtrichales,-0.008402653270395783,0.05293225923111045,2.406228704148238e-4,0.0032930540387325134,0.003533676909147337
Corynebacteriaceae,0.1348977090020029,0.007953266445300172,-0.0038630029001442594,4.947934694126614e-4,-0.003368209430731598
Cyclobacteriaceae,0.014708813713022387,0.05890144581767592,-4.2120945160190596e-4,0.0036644127202316813,0.003243203268629775
Muribaculaceae,-0.12099430278450711,-0.10723125232527041,0.003464857528088515,-0.0066711361592617395,-0.0032062786311732243
Marinifilaceae,0.012849265226027431,0.05555298407339674,-3.6795842716743076e-4,0.0034560961731824476,0.003088137746015017
Leptotrichiaceae,0.014788406479749784,0.05616629063942661,-4.2348871261362465e-4,0.0034942515758344997,0.0030707628632208753
Xanthobacteraceae,0.05177870377153136,0.07247689296549513,-0.0014827626378159345,0.004508976729157472,0.0030262140913415374
Gastranaerophilaceae,-0.09636540772151972,-0.09151180154060236,0.002759571324493639,-0.005693188086667783,-0.002933616762174144
Acidaminococcaceae,-0.14569483102852696,-0.11348433044306228,0.004172195057744613,-0.007060156474083325,-0.0028879614163387123
Hymenobacteraceae,0.014092558396178562,0.05195679405821476,-4.0356203494962116e-4,0.0032323678036481228,0.0028288057686985018
Bacteriovoracaceae,-0.022751902620974544,0.03314472982981345,6.51535644740412e-4,0.002062020174733347,0.002713555819473759
Rikenellaceae,-0.1605161785821457,-0.1167113504897256,0.004596627088557123,-0.0072609178160721,-0.002664290727514977
Deinococcaceae,0.0266110680156775,0.0549102984221919,-7.62048767773899e-4,0.0034161130209407306,0.0026540642531668315
Bogoriellaceae,0.049982594426529844,-0.018480765200856227,-0.001431328290560904,-0.001149736651478085,-0.002581064942038989
Unclassified_Bacteria,-0.02022625973707238,0.03216901128409159,5.79209985117105e-4,0.002001318176663952,0.0025805281617810568
Bacteroidales RF16 group,-0.13438897342137843,-0.10327903871123291,0.003848434476129514,-0.006425258632160261,-0.0025768241560307475
Unclassified_Bacillota,0.11694437588503664,0.014126319873985878,-0.003348881656639176,8.788352394019034e-4,-0.0024700464172372726
Gemellaceae,0.027928567547109887,0.05246150010844886,-7.997773885823254e-4,0.0032637668846856333,0.002463989496103308
Brevibacteriaceae,0.06151507042576309,0.06530084070375798,-0.001761578437583198,0.004062535783202531,0.0023009573456193337
Unclassified_Bacteroidetes VC2.1 Bac22,0.04453750788831949,0.05692655767609181,-0.0012753998819596078,0.003541549773039241,0.002266149891079633
Sphingobacteriaceae,-0.06536207224594516,0.006229277130258327,0.0018717432379950637,3.875395932491151e-4,0.002259282831244179
p-251-o5,-0.10151283114692555,-0.08194005467291988,0.0029069756930905737,-0.005097704724759412,-0.0021907290316688383
JG30-KF-CM45,0.026857107800480305,-0.022593785460387785,-7.690944945640404e-4,-0.0014056183798188706,-0.002174712874382911
Barnesiellaceae,-0.039354567743650856,0.01667189868983501,0.0011269784376055619,0.0010372023433610148,0.002164180780966577
gir-aah93h0,-0.06664273362352906,0.00361039693243267,0.0019084169417392532,2.246122189469497e-4,0.002133029160686203
Defluviitaleaceae,0.06728288762539239,-0.0029026090334487407,-0.0019267487339100179,-1.8057888590634652e-4,-0.0021073276198163645
Unclassified_Coriobacteriales,0.02417997349036418,0.044947132226306266,-6.924306454848782e-4,0.002796278440733712,0.0021038477952488336
Paludibacteraceae,-0.15085174581972513,-0.03613005818429913,0.004319871226165676,-0.0022477452455594146,0.0020721259806062613
Eggerthellaceae,0.0100111502348891,0.037263086983624766,-2.866846492595532e-4,0.002318233925200479,0.002031549275940926
Moraxellaceae,0.01867466268519626,0.041082295758387205,-5.347776225840708e-4,0.0025558368740106097,0.002021059251426539
Neisseriaceae,0.02152961607133821,0.041112412140869734,-6.16533593771686e-4,0.002557710492790664,0.0019411768990189782
F082,-0.024045978762518593,0.019694768910414176,6.885935008357881e-4,0.001225262991688525,0.0019138564925243132
Actinomycetaceae,0.15835107762523015,0.04250222225682868,-0.004534626100270913,0.002644174208526795,-0.0018904518917441182
Akkermansiaceae,-0.028700818863117844,-0.04350174125562496,8.218919900492389e-4,-0.0027063568949185638,-0.0018844649048693248
Unclassified_WCHB1-41,-0.0020450469588596887,-0.0308203284133685,5.856305782694115e-5,-0.0019174130942261763,-0.0018588500363992352
Wohlfahrtiimonadaceae,0.1551722282837586,0.04155959849607551,-0.004443594871378478,0.00258553112343193,-0.0018580637479465485
Veillonellaceae,0.06929083142331004,0.06116032285061935,-0.00198424928578794,0.0038049433577745906,0.0018206940719866505
Unclassified_Clostridia vadinBB60 group,-0.04757488985957756,-0.050894249889105424,0.0013623799756218478,-0.0031662641568693233,-0.0018038841812474755
Trueperaceae,-0.011092325954758646,0.023662837834717464,3.1764577508089386e-4,0.0014721269190356102,0.001789772694116504
