trajectory_global,bray_displacement,ecological_resistance,study,cow_global,cow_id,quarter
Italy__270_FL,0.31591709034024246,0.6840829096597576,Italy,Italy__270,270,FL
Italy__270_FR,0.5203039658038471,0.4796960341961529,Italy,Italy__270,270,FR
Italy__270_RL,0.5480598937369183,0.4519401062630817,Italy,Italy__270,270,RL
Italy__270_RR,0.5421186981493299,0.4578813018506701,Italy,Italy__270,270,RR
Italy__321_FL,0.4146110804633935,0.5853889195366064,Italy,Italy__321,321,FL
Italy__321_FR,0.2537644634648914,0.7462355365351085,Italy,Italy__321,321,FR
Italy__321_RL,0.6084346864634339,0.3915653135365661,Italy,Italy__321,321,RL
Italy__321_RR,0.3088971419344421,0.6911028580655578,Italy,Italy__321,321,RR
Italy__355_FL,0.6830722747873101,0.31692772521268986,Italy,Italy__355,355,FL
Italy__355_FR,0.48325662593239166,0.5167433740676084,Italy,Italy__355,355,FR
Italy__355_RL,0.4057982339610846,0.5942017660389154,Italy,Italy__355,355,RL
Italy__355_RR,0.3976962715974538,0.6023037284025462,Italy,Italy__355,355,RR
Italy__365_FL,0.35896831013603836,0.6410316898639616,Italy,Italy__365,365,FL
Italy__365_FR,0.3316239316239316,0.6683760683760684,Italy,Italy__365,365,FR
Italy__365_RL,0.7351338545368397,0.26486614546316034,Italy,Italy__365,365,RL
Italy__365_RR,0.39076057218791527,0.6092394278120847,Italy,Italy__365,365,RR
Italy__366_FL,0.5454182312055604,0.45458176879443957,Italy,Italy__366,366,FL
Italy__366_FR,0.22319262493934983,0.7768073750606501,Italy,Italy__366,366,FR
Italy__366_RL,0.48881440486398003,0.51118559513602,Italy,Italy__366,366,RL
Italy__366_RR,0.35316217908578584,0.6468378209142142,Italy,Italy__366,366,RR
Manitoba__MB001,0.4968322774258086,0.5031677225741914,Manitoba,Manitoba__1369,1369,LR
Manitoba__MB002,0.5840322039584033,0.4159677960415967,Manitoba,Manitoba__1369,1369,RR
Manitoba__MB003,0.6904262753319357,0.3095737246680643,Manitoba,Manitoba__1618,1618,LF
Manitoba__MB004,0.5078411745078412,0.49215882549215884,Manitoba,Manitoba__1618,1618,LR
Manitoba__MB005,0.3605737158105404,0.6394262841894596,Manitoba,Manitoba__1618,1618,RF
Manitoba__MB006,0.4617951284617951,0.5382048715382048,Manitoba,Manitoba__1618,1618,RR
Manitoba__MB007,0.30462360206977135,0.6953763979302287,Manitoba,Manitoba__1873,1873,LF
Manitoba__MB008,0.6257657973043935,0.3742342026956065,Manitoba,Manitoba__1873,1873,RF
Manitoba__MB009,0.3994995829858215,0.6005004170141786,Manitoba,Manitoba__1943,1943,LF
Manitoba__MB010,0.41251042535446203,0.587489574645538,Manitoba,Manitoba__1943,1943,LR
Manitoba__MB011,0.6978171896316507,0.30218281036834926,Manitoba,Manitoba__1943,1943,RF
Manitoba__MB012,0.57981220657277,0.42018779342723,Manitoba,Manitoba__1943,1943,RR
Manitoba__MB013,0.45639486409871605,0.5436051359012839,Manitoba,Manitoba__2196,2196,LF
Manitoba__MB014,0.38607911867801703,0.613920881321983,Manitoba,Manitoba__2196,2196,RR
Manitoba__MB015,0.6224386966745046,0.3775613033254954,Manitoba,Manitoba__2260,2260,LF
Manitoba__MB016,0.672208228379513,0.327791771620487,Manitoba,Manitoba__2260,2260,LR
Manitoba__MB017,0.48774387193596797,0.5122561280640321,Manitoba,Manitoba__2260,2260,RF
Manitoba__MB018,0.6421895861148198,0.3578104138851802,Manitoba,Manitoba__2260,2260,RR
Manitoba__MB019,0.8676691729323308,0.1323308270676692,Manitoba,Manitoba__2408,2408,LF
Manitoba__MB020,0.5793160967472895,0.42068390325271054,Manitoba,Manitoba__2408,2408,LR
Manitoba__MB021,0.2861199265074328,0.7138800734925672,Manitoba,Manitoba__2408,2408,RF
Manitoba__MB022,0.467003367003367,0.532996632996633,Manitoba,Manitoba__2408,2408,RR
Manitoba__MB023,0.8558467741935484,0.14415322580645162,Manitoba,Manitoba__2443,2443,LR
Manitoba__MB024,0.5985997666277713,0.40140023337222874,Manitoba,Manitoba__2443,2443,RF
Manitoba__MB025,0.7420973406924235,0.2579026593075765,Manitoba,Manitoba__2443,2443,RR
Manitoba__MB026,0.5577246718276675,0.4422753281723325,Manitoba,Manitoba__7215,7215,LF
Manitoba__MB027,0.5364548494983278,0.4635451505016722,Manitoba,Manitoba__7215,7215,LR
Manitoba__MB028,0.593452480374144,0.406547519625856,Manitoba,Manitoba__7215,7215,RF
Manitoba__MB029,0.5439065108514191,0.45609348914858094,Manitoba,Manitoba__7215,7215,RR
