study,trajectory_global,cow_global,cow_id,quarter
Italy,Italy__270_FL,Italy__270,270,FL
Italy,Italy__270_FR,Italy__270,270,FR
Italy,Italy__270_RL,Italy__270,270,RL
Italy,Italy__270_RR,Italy__270,270,RR
Italy,Italy__321_FL,Italy__321,321,FL
Italy,Italy__321_FR,Italy__321,321,FR
Italy,Italy__321_RL,Italy__321,321,RL
Italy,Italy__321_RR,Italy__321,321,RR
Italy,Italy__355_FL,Italy__355,355,FL
Italy,Italy__355_FR,Italy__355,355,FR
Italy,Italy__355_RL,Italy__355,355,RL
Italy,Italy__355_RR,Italy__355,355,RR
Italy,Italy__365_FL,Italy__365,365,FL
Italy,Italy__365_FR,Italy__365,365,FR
Italy,Italy__365_RL,Italy__365,365,RL
Italy,Italy__365_RR,Italy__365,365,RR
Italy,Italy__366_FL,Italy__366,366,FL
Italy,Italy__366_FR,Italy__366,366,FR
Italy,Italy__366_RL,Italy__366,366,RL
Italy,Italy__366_RR,Italy__366,366,RR
Manitoba,Manitoba__MB001,Manitoba__1369,1369,LR
Manitoba,Manitoba__MB002,Manitoba__1369,1369,RR
Manitoba,Manitoba__MB003,Manitoba__1618,1618,LF
Manitoba,Manitoba__MB004,Manitoba__1618,1618,LR
Manitoba,Manitoba__MB005,Manitoba__1618,1618,RF
Manitoba,Manitoba__MB006,Manitoba__1618,1618,RR
Manitoba,Manitoba__MB007,Manitoba__1873,1873,LF
Manitoba,Manitoba__MB008,Manitoba__1873,1873,RF
Manitoba,Manitoba__MB009,Manitoba__1943,1943,LF
Manitoba,Manitoba__MB010,Manitoba__1943,1943,LR
Manitoba,Manitoba__MB011,Manitoba__1943,1943,RF
Manitoba,Manitoba__MB012,Manitoba__1943,1943,RR
Manitoba,Manitoba__MB013,Manitoba__2196,2196,LF
Manitoba,Manitoba__MB014,Manitoba__2196,2196,RR
Manitoba,Manitoba__MB015,Manitoba__2260,2260,LF
Manitoba,Manitoba__MB016,Manitoba__2260,2260,LR
Manitoba,Manitoba__MB017,Manitoba__2260,2260,RF
Manitoba,Manitoba__MB018,Manitoba__2260,2260,RR
Manitoba,Manitoba__MB019,Manitoba__2408,2408,LF
Manitoba,Manitoba__MB020,Manitoba__2408,2408,LR
Manitoba,Manitoba__MB021,Manitoba__2408,2408,RF
Manitoba,Manitoba__MB022,Manitoba__2408,2408,RR
Manitoba,Manitoba__MB023,Manitoba__2443,2443,LR
Manitoba,Manitoba__MB024,Manitoba__2443,2443,RF
Manitoba,Manitoba__MB025,Manitoba__2443,2443,RR
Manitoba,Manitoba__MB026,Manitoba__7215,7215,LF
Manitoba,Manitoba__MB027,Manitoba__7215,7215,LR
Manitoba,Manitoba__MB028,Manitoba__7215,7215,RF
Manitoba,Manitoba__MB029,Manitoba__7215,7215,RR
