family,PC1_loading,PC2_loading
Fusobacteriaceae,0.32201797618714983,-4.7928339105583317e-4
Family XI,0.289805812208003,0.006756293037109293
Porphyromonadaceae,0.2546099820788283,-0.11521759852910335
Unclassified_Absconditabacteriales (SR1),0.19407243561325033,-0.04423861722082818
Pseudonocardiaceae,0.18135715108197897,0.026151083869028424
Unclassified_Bacteroidales,-0.1642883329419167,-0.06726659123525215
Rikenellaceae,-0.1605161785821457,-0.1167113504897256
Actinomycetaceae,0.15835107762523015,0.04250222225682868
Wohlfahrtiimonadaceae,0.1551722282837586,0.04155959849607551
Paludibacteraceae,-0.15085174581972513,-0.03613005818429913
Acidaminococcaceae,-0.14569483102852696,-0.11348433044306228
Rhizobiaceae,0.13707861193770246,-0.046960358396460254
Corynebacteriaceae,0.1348977090020029,0.007953266445300172
Bacteroidales RF16 group,-0.13438897342137843,-0.10327903871123291
Butyricicoccaceae,-0.1341603671932256,-0.08214084912703619
UCG-010,-0.12775041920000443,-0.050577316252669036
Unclassified_Clostridia,0.12548388771682717,-0.0684732884313165
Paracoccaceae,0.12172304644871905,-0.29481359935087703
Muribaculaceae,-0.12099430278450711,-0.10723125232527041
Weeksellaceae,-0.11862937771570319,-0.11632692466982279
Unclassified_Bacillota,0.11694437588503664,0.014126319873985878
Synergistaceae,0.11512153621346022,0.037889758248428045
Caulobacteraceae,0.11245187484094975,-0.16235408323582468
Devosiaceae,0.10875439778521162,-0.12063802649428358
Thermoactinomycetaceae,0.10820656732114033,0.024736791534572693
