study,family,centroid
Italy,[Eubacterium] coprostanoligenes group,1.2322381837016694
Italy,Acetobacteraceae,-1.0735719859994355
Italy,Acholeplasmataceae,-0.06547167108821589
Italy,Acidaminococcaceae,2.26807306029771
Italy,Actinomycetaceae,-0.5930792622698902
Italy,Aerococcaceae,1.899666461070906
Italy,Aeromonadaceae,-1.2060324710533992
Italy,Akkermansiaceae,0.29857207722616935
Italy,Alcaligenaceae,4.933057522585601
Italy,Alcanivoracaceae1,-0.5271913355287615
Italy,Alteromonadaceae,-1.3582585929395705
Italy,Anaerovoracaceae,0.5858388081670352
Italy,Arcobacteraceae,-0.49582828113328825
Italy,Atopobiaceae,-1.2483973640727595
Italy,Bacillaceae,1.362469419524806
Italy,Bacteriovoracaceae,-0.8902129314167926
Italy,Bacteroidaceae,2.155644994796738
Italy,Bacteroidales RF16 group,0.0453471803075538
Italy,Barnesiellaceae,-1.1511018566199938
Italy,Beijerinckiaceae,0.07130525352273434
Italy,Bifidobacteriaceae,0.09130795540862158
Italy,Bogoriellaceae,-0.6493431819519186
Italy,Brevibacteriaceae,0.04793810890137381
Italy,Butyricicoccaceae,0.5462544988746405
Italy,Caldalkalibacillaceae,-1.3582585929395705
Italy,Campylobacteraceae,-0.6585579765068023
Italy,Carnobacteriaceae,2.948808476065275
Italy,Caulobacteraceae,0.6673907283003255
Italy,Cellulomonadaceae,-1.1029613192445413
Italy,Cellvibrionaceae,-0.16177878315402083
Italy,Chitinophagaceae,0.49142805369083764
Italy,Christensenellaceae,1.6744249249094714
Italy,Clostridiaceae,1.5700746567287949
Italy,Comamonadaceae,1.406601974174181
Italy,Corynebacteriaceae,3.129688909786815
Italy,Crocinitomicaceae,-0.4001589332658006
Italy,Cyclobacteriaceae,-1.2777866973178653
Italy,Defluviitaleaceae,-0.9675588091894309
Italy,Deinococcaceae,-0.07487836967586119
Italy,Demequinaceae,-1.048030704811136
Italy,Dermabacteraceae,-0.9717718263703179
Italy,Dermatophilaceae,-0.9583586270405839
