family,PC1_loading,PC2_loading
Paracoccaceae,0.12172304644871904,-0.29481359935087703
Saccharimonadaceae,0.05369979465439969,-0.1796883992639053
Bacteroidaceae,-0.10068667206904312,-0.1643881454753317
Caulobacteraceae,0.11245187484094976,-0.16235408323582468
Anaerovoracaceae,-0.01578329733982574,-0.15292924660746315
Succinivibrionaceae,-0.05490613155634746,-0.15229102363512845
Spirochaetaceae,-0.04457257953329367,-0.14286470854826516
Ruminococcaceae,-0.01642970327973404,-0.1404108264615202
Lactobacillaceae,-0.03560494567666587,0.2011501678617839
Pseudomonadaceae,-0.04264583266685776,0.1613371458129849
Propionibacteriaceae,-0.04902449642178314,0.1503708374150297
Alcanivoracaceae1,0.05117345803373102,0.14685328113947216
Beijerinckiaceae,-0.06606371115846804,0.1363518196257099
Mycobacteriaceae,-0.04018685723820803,0.1290880481565365
Streptococcaceae,-0.04245090486950417,0.11347644255034132
Enterobacteriaceae,-0.08021775850937725,0.11127004664285554
